pageid,ns,title,type,sitelink,personLabel,personDescription,genderLabel,dob,dod,pobLabel,person,indigenous,indig_filter,project,page,watchers,pageviews,pageviews_offset,revisions,editors,ip_edits,minor_edits,author,author_editcount,created_at,created_rev_id,modified_at,secs_since_last_edit,last_edit_id,assessment,elapsed_time
55240828,0,Suzy Styles,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Suzy Styles,0,15,30,41,14,2,7,,239048,2017-09-14,800666693,2023-05-04 12:09,5563130,1153135256,,0.172
52519072,0,Erin Sweeny,page,https://en.wikipedia.org/wiki/Erin_Sweeny,Erin Sweeny,Australian psychologist,female,1965-01-01,NA,NA,http://www.wikidata.org/entity/Q27982806,not indigenous,keep,en.wikipedia.org,Erin Sweeny,0,15,30,17,15,1,7,,24810,2016-12-08,753719541,2022-08-14 16:11,28271831,1104383154,,0.163
17182716,0,Michael Thalbourne,page,https://en.wikipedia.org/wiki/Michael_Thalbourne,Michael Thalbourne,Australian parapsychologist,male,1955-03-24,2010-05-04,NA,http://www.wikidata.org/entity/Q6834845,not indigenous,keep,en.wikipedia.org,Michael Thalbourne,0,44,30,118,57,26,36,,6601,2008-04-29,209065879,2023-03-20 05:41,9474393,1145640203,,0.183
24968028,0,William Forde Thompson,page,https://en.wikipedia.org/wiki/William_Forde_Thompson,William Forde Thompson,Australian-Canadian psychologist,male,1957-01-01,NA,NA,http://www.wikidata.org/entity/Q8009205,not indigenous,keep,en.wikipedia.org,William Forde Thompson,0,59,30,54,33,14,17,,22,2009-11-05,324014378,2023-03-20 04:40,9478069,1145633526,,0.177
73639966,0,Tim Watson-Munro,page,https://en.wikipedia.org/wiki/Tim_Watson-Munro,Tim Watson-Munro,Australian forensic psychologist,male,1950-01-01,NA,NA,http://www.wikidata.org/entity/Q117844188,not indigenous,keep,en.wikipedia.org,Tim Watson-Munro,0,305,30,63,12,0,8,,12208,2023-04-25,1151619146,2023-06-13 03:45,2137343,1159881037,,0.17
63731626,0,Lea Waters,page,https://en.wikipedia.org/wiki/Lea_Waters,Lea Waters,Australian psychologist,female,1971-02-24,NA,Lara,http://www.wikidata.org/entity/Q91670334,not indigenous,keep,en.wikipedia.org,Lea Waters,0,86,30,43,19,6,9,,40,2020-04-22,952443382,2023-03-20 06:09,9472705,1145643188,,0.183
56724030,0,Barbara Webb,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Barbara Webb,0,62,30,26,18,0,4,,7399,2018-03-01,828308384,2023-04-14 03:18,7322992,1149733267,,0.16
66804763,0,Fiona A. White,page,https://en.wikipedia.org/wiki/Fiona_A._White,Fiona A. White,Australian psychologist,female,NA,NA,NA,http://www.wikidata.org/entity/Q67227061,not indigenous,keep,en.wikipedia.org,Fiona A. White,0,42,30,45,19,0,13,,6,2021-02-18,1007439420,2023-06-11 07:21,2297188,1159582513,,0.195
5601650,0,Michael White (psychotherapist),page,https://en.wikipedia.org/wiki/Michael_White_(psychotherapist),Michael White,Australian social worker and family therapist (1948-2008),male,1948-12-29,2008-04-04,Adelaide,http://www.wikidata.org/entity/Q786213,not indigenous,keep,en.wikipedia.org,Michael White (psychotherapist),0,997,30,165,88,38,49,,1454,2006-06-17,59131236,2021-07-30 02:11,61154234,1036193307,,0.197
31236849,0,Jenny Williams (sportsperson),page,https://en.wikipedia.org/wiki/Jenny_Williams_(sportsperson),Jenny Williams,Australian sportswoman,female,1957-01-11,NA,Adelaide,http://www.wikidata.org/entity/Q6179529,not indigenous,keep,en.wikipedia.org,Jenny Williams (sportsperson),0,337,30,93,39,7,34,,550,2011-03-20,419755602,2023-05-11 06:32,4978553,1154250763,,0.174
11645288,0,Valerie Yule,page,https://en.wikipedia.org/wiki/Valerie_Yule,Valerie Yule,Australian clinical child psychologist,female,1929-01-02,2021-01-28,NA,http://www.wikidata.org/entity/Q7911366,not indigenous,keep,en.wikipedia.org,Valerie Yule,0,38,30,51,34,4,20,,33606,2007-06-07,136564356,2023-03-20 15:08,9440419,1145710039,,0.181
52497983,0,Patricia Weerakoon,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Patricia Weerakoon,0,134,30,26,15,2,8,,151845,2016-12-06,753375369,2023-05-30 20:55,3285146,1157768627,,0.181
21965543,0,Chris Back,page,https://en.wikipedia.org/wiki/Chris_Back,Chris Back,Australian politician,male,1950-02-11,NA,Perth,http://www.wikidata.org/entity/Q5105780,not indigenous,keep,en.wikipedia.org,Chris Back,0,64,30,81,51,16,23,,71010,2009-03-14,277134863,2023-04-30 05:55,5931179,1152432371,,0.182
13922463,0,Harold William Bennetts,page,https://en.wikipedia.org/wiki/Harold_William_Bennetts,Harold William Bennetts,Western Australian veterinary pathologist,male,1898-07-18,1970-08-28,NA,http://www.wikidata.org/entity/Q5662770,not indigenous,keep,en.wikipedia.org,Harold William Bennetts,0,11,30,46,28,1,18,,28040,2007-10-26,167179840,2022-11-08 01:57,20892648,1120639704,,0.184
