pageid,title,wikibase_item,biography
36592642,Bate family,Q4868740,FALSE
2574431,Bjelke-Petersen family,Q4919597,FALSE
1837438,Bussell family,Q5002021,FALSE
13197605,Cockbain,Q5139540,FALSE
51997862,Giblin family,Q28135379,FALSE
1874554,Hamersley family,Q5644524,FALSE
13168661,Henty Brothers,Q5731466,FALSE
71067010,Howson family,Q112958144,FALSE
72594329,Macarthur family,Q19899857,FALSE
3033161,Moran family,Q16150071,FALSE
57302546,Packer family,Q55628335,FALSE
17292443,Pettingill family,Q7179348,FALSE
983975,Playford family,Q7203327,FALSE
3210208,Six hungry families,Q7532938,FALSE
4862743,Smorgon family,Q7546477,FALSE
1433713,The Sullivans,Q932217,FALSE
557204,Tyndall,Q19859714,FALSE
44729717,Youl family,Q23073935,FALSE
49933020,Alice-Miranda,Q24190203,FALSE
3220280,Louise Appleton,Q16258849,FALSE
9060269,Cane Ashby,Q2936326,FALSE
16932196,Barmy Aunt Boomerang,Q4861288,FALSE
25219802,Verity Birdwood,Q7921407,FALSE
1200427,Blinky Bill,Q2891794,FALSE
19616318,Bluey and Curley,Q4930623,FALSE
3970330,Chesty Bond,Q5094027,FALSE
12904292,Ben Bowyang,Q4885326,FALSE
7622599,Captain Goodvibes,Q5036659,FALSE
48044930,Maxine Conway,Q21233443,FALSE
2800468,Daredevil (Lev Gleason Publications),Q3702513,FALSE
47947304,Franky Doyle (Wentworth),Q21233460,FALSE
26996154,Eugénie Sandler P.I.,Q5408605,FALSE
33469293,Fatty Finn,Q5437997,FALSE
48868718,Joan Ferguson (Wentworth),Q22008267,FALSE
4091204,Phryne Fisher,Q7188182,FALSE
11549156,Cyrus Foley,Q5201089,FALSE
9204734,Jonny Foster,Q6275748,FALSE
5423916,Mr G,Q6929403,FALSE
1284128,Elliot Goblet,Q5365484,FALSE
35818176,Ally Gorman,Q4733404,FALSE
19623423,Hairbutt the Hippo,Q17006057,FALSE
51449782,Brummy Hewson,Q28024915,FALSE
48136527,Jacs Holt,Q21233501,FALSE
6899362,Jasper Jacks,Q6163977,FALSE
10858195,Jerry Jacks,Q6183805,FALSE
21784005,Ethan Lovett,Q5402963,FALSE
2682321,Elle McFeast,Q5364667,FALSE
1728001,Barry McKenzie,Q4864499,FALSE
1788648,Ginger Meggs,Q4449268,FALSE
1252929,Metallo,Q2003133,FALSE
50568066,Allie Novak,Q24909425,FALSE
11449454,The Plantem,Q7757395,FALSE
2255566,The Potts,Q7757900,FALSE
49754335,Kaz Proctor,Q24908092,FALSE
818938,Johnny Quick,Q2320371,FALSE
22809783,Sophie Ramsay,Q7563055,FALSE
2386893,Rocko,Q4305579,FALSE
5980057,Robert Scorpio,Q7349649,FALSE
23249291,Sierra (Dollhouse),Q7511304,FALSE
23386226,Slayback (comic book character),Q28183312,FALSE
47905082,Bea Smith (Wentworth),Q21233637,FALSE
5823393,Steelman and Smith,Q7605833,FALSE
16868280,Sandy Stone (character),Q7417496,TRUE
392792,Tank Girl,Q2141950,FALSE
1868763,Bill Tanner,Q2024961,FALSE
48758564,Jess Warner,Q23023657,FALSE
23088110,Jack West Jr,Q6115729,FALSE
48223016,Bridget Westfall,Q21233701,FALSE
2161916,Wintergreen (comics),Q8026461,FALSE
2834392,Zandar,Q8066069,FALSE
2833598,Zarana,Q8066601,FALSE
2296473,Zartan,Q8066924,FALSE
69277233,Lazarus El Anthony,Q109518875,TRUE
9950907,Valerio Ricetti,Q7911390,TRUE
18445575,John Tuson Bennett,Q6261461,TRUE
1042763,Taj El-Din Hilaly,Q2388989,TRUE
2474992,David Tribe,Q5240500,TRUE
5909103,Ankotarinja,Q16209614,FALSE
95226,Kondole,Q3198628,FALSE
95238,Mar'rallang,Q3287309,FALSE
95256,Wawalag,Q3566777,FALSE
5942342,White woman of Gippsland,Q7995723,FALSE
95263,Wurrunna,Q3570173,FALSE
1663246,Wurruri,Q8039306,FALSE
95270,Wurugag and Waramurungundi,Q3446855,FALSE
7477752,Darryl Beamish,Q10264273,TRUE
7466351,John Button (campaigner),Q6224171,TRUE
4635073,Death of Caroline Byrne,Q5247405,FALSE
12939749,Murder of Leanne Holland,Q29300442,FALSE
6810728,Henry Keogh,Q5724288,TRUE
2633071,Perth Mint Swindle,Q7170872,FALSE
40956941,Mathieu van der Poel,Q3078910,TRUE
5159734,John Howard Amundsen,Q6240048,TRUE
61730130,William Bannon,Q67222872,TRUE
5713522,Amy Bock,Q4749110,TRUE
63343989,Jamil Hopoate,Q87472445,TRUE
63363388,Witness J,Q87651382,TRUE
41658262,Brad McKay (doctor),Q23020813,TRUE
31573525,Kylie Sturgess,Q6451645,TRUE
63940156,Frederick de Bertodano,Q26262802,TRUE
16709945,Shirley Finn,Q7498744,TRUE
45395676,Avon Hudson,Q19281618,TRUE
12775444,Guy Pearse,Q5622533,TRUE
4277393,Mike Rinder,Q3857453,TRUE
26660450,Aaron Saxton,Q4662404,TRUE
73750887,Steven Marshall (whistleblower),Q118905883,TRUE
72064069,Louise Adams (civil engineer),Q109754306,TRUE
59335324,Alexandra Agoston,Q59604511,TRUE
30747858,Ross Babbage,Q7369176,TRUE
57917330,Henry Vere Barclay,Q55590174,TRUE
53581702,Enid Bishop,Q29033670,TRUE
5758682,Bluey (dog),Q2907373,FALSE
70364781,Percy Herbert Bonnet,Q111327994,TRUE
70323635,William Francis Noel Bridges,Q76344953,TRUE
50927800,John Brooke (East India Company),Q25184698,TRUE
52139505,Kirsty M. Brown,Q27777752,TRUE
31937803,Andrew Budds,Q4756474,TRUE
38129365,William Robert Chaplin,Q8017619,TRUE
51883500,"Sir Rupert Clarke, 4th Baronet",Q27662518,TRUE
57980456,James F. Cockerell,Q55739526,TRUE
57973069,John T. Cockerell,Q55738846,TRUE
30792314,Sydney Victor Colville,Q7660209,TRUE
2288270,Paddy Conlon (publican),Q16205107,TRUE
16322679,Jenny Coupland,Q6179217,TRUE
47662314,Nik Cubrilovic,Q21005475,TRUE
4727152,Tom Cue,Q7815477,TRUE
50578513,Ishmael Del'Monte,Q25105725,TRUE
47386920,Robert G. Dovers,Q23073817,TRUE
5088107,Robin Dunster,Q4945423,TRUE
68377749,Lachlan Edwards (water polo),Q107745177,TRUE
34450578,Edward Fitzgerald (brewer),Q5342923,TRUE
44558442,Rosanne Fitzgibbon,Q18645840,TRUE
59675181,Ann Flora Froude Flashman,Q60630954,TRUE
3051463,Charles Flaxman,Q5077698,TRUE
57513865,Gen Fricker,Q54180605,TRUE
72959242,Zackary Leon Furst,Q116733878,TRUE
12824298,Vic Garth,Q16016445,TRUE
51524785,Samuel Gason,Q27972829,TRUE
44169422,George Brackenreg,Q18343870,TRUE
1677058,Mary Gilbert,Q6779633,TRUE
3556663,Dirk Meinerts Hahn,Q5280848,TRUE
71242101,Hannah Conda,Q114029475,TRUE
1672156,Rob Hartill,Q7340187,TRUE
46872536,"Arnold ""Puggy"" Hunter",Q20312042,TRUE
37906935,Reg Jackson,Q7308764,TRUE
16392128,Robert Jarman,Q7346065,TRUE
15036812,Edna Jessop,Q5340057,TRUE
73152441,John Joseph (rebel),Q117085608,TRUE
52470539,Norman S. Johnson,Q27975410,TRUE
36338716,Rod Johnson (programmer),Q7356250,TRUE
69633153,Malcolm Johnston (jockey),Q110312130,TRUE
64505278,George Justice (mariner),Q97165775,TRUE
67018664,Karen from Finance,Q107260060,TRUE
52917490,Ian Keenan,Q28458538,TRUE
44521694,Ray Kendrick,Q18611341,TRUE
5026808,John Martin Kenny,Q16059488,TRUE
62597479,Nazia Ejaz Khan,Q78777922,TRUE
52210179,A. Geoffrey Lee,Q27889022,TRUE
66272237,Lilly de Castella,Q104635978,TRUE
58989422,Fernanda Ly,Q64009059,TRUE
26056100,Nick Marchand,Q7027504,TRUE
1671982,Michael Matteson,Q6832583,TRUE
56392106,Whyman McLean,Q47488657,TRUE
3734575,Joey McNicol,Q6214477,TRUE
37037681,Alexander McRae (explorer),Q4719634,TRUE
72592289,Mona Menzies,Q115941831,TRUE
1646623,Johan Meyer,Q6215251,TRUE
31641835,P.J. Moonie,Q7117018,TRUE
69283868,Barry Moreland,Q109593137,TRUE
6167994,Michael Murchison,Q6832966,TRUE
3923346,Clement Roy Nichols,Q5131399,TRUE
59405609,Alexander Nicholson (police officer),Q59810293,TRUE
63888516,Berenice Owen-Jones,Q93514938,TRUE
21887672,Robin Parkes,Q7352702,TRUE
52196500,Paul Parkinson (Scouting),Q27983611,TRUE
61503822,Felicity Price,Q66459215,TRUE
57279404,Angelo Puglisi,Q54611560,TRUE
68377739,Timothy Putt,Q107745179,TRUE
41898601,Mark Read (bookmaker),Q16735058,TRUE
13332345,Ernest Ridding,Q5393732,TRUE
2766085,Ian Rintoul,Q5982722,TRUE
70975128,Stefan Romaniw,Q12157829,TRUE
62262234,Hermann Rosendorff,Q73663240,TRUE
64562872,Kim Ryrie,Q114797973,TRUE
9797256,Hugh Saddler,Q5932587,TRUE
63189244,Claudia Sangiorgi Dalimore,Q106854935,TRUE
53229995,Bo Seo,Q113459646,TRUE
59844085,Trevarton Charles Sholl,Q61443261,TRUE
9575027,Greg Siegele,Q5606247,TRUE
67018654,Art Simone,Q107176258,TRUE
59424419,Michael Smith (aviator),Q60736012,TRUE
22476280,Chris Sperou,Q5108128,TRUE
827596,Gladys Staines,Q5566466,TRUE
52416821,Gordon J. Stanley,Q27926033,TRUE
60334472,Cheryl Toh,Q62482001,TRUE
68377640,Goran Tomasevic (water polo),Q107745187,TRUE
37466061,Murder of Daniel Valerio,Q5247419,FALSE
60125211,Bree Warren,Q61958377,TRUE
52322076,William George Wells,Q27983448,TRUE
57986375,Gabby Westbrook-Patrick,Q55760877,TRUE
61319705,Peter Westerway,Q65679830,TRUE
37917205,Noel Wilby,Q7047263,TRUE
36853580,Les William,Q6530099,TRUE
7852156,Anglican Diocese of Armidale,Q4763457,FALSE
4080062,Minister for Health and Aged Care,Q6865857,FALSE
32734550,Assistant bishops in the Diocese of Sydney,Q4809055,FALSE
50733899,David Lloyd (chemist),Q25184417,TRUE
31775641,Beatrice Bodart-Bailey,Q4877127,TRUE
72365127,Roland Boer,Q58042411,TRUE
64051381,Byron Byrne,Q95368960,TRUE
72976268,Gordon James Aitken Clunie,Q116729314,TRUE
61076560,Warwick Gould,Q64759160,TRUE
52979726,Penny Green,Q28506299,FALSE
71729015,Zaiping Guo,Q61140009,TRUE
54199032,Julia Hammett-Jamart,Q30123140,TRUE
72812704,Alex Joske,Q116286241,TRUE
55961942,Deirdre Osborne,Q44547141,TRUE
71068367,Max Quanchi,Q112629205,TRUE
67893153,Anantanarayanan Raman,Q73019010,TRUE
54614031,John Gordon Rushbrooke,Q34370679,TRUE
54442751,Diane Stone,Q61535824,TRUE
36496333,Berhan Ahmed,Q4891772,TRUE
59927007,Rod Bower (activist),Q61700543,TRUE
44926663,Walter Bromley,Q19664182,TRUE
57291470,Joey Carbstrong,Q52416087,TRUE
68280694,Shaun Davies (activist),Q109593422,TRUE
58704227,Keg de Souza,Q57242427,TRUE
60499403,Andy Fleming (activist),Q63154905,TRUE
71416167,Anthony Foster (activist),Q113504725,TRUE
64800655,Frederick Vern,Q104847237,TRUE
1082105,Mary Gilmore,Q455761,TRUE
39479899,Tanya Hosch,Q16226221,TRUE
45601795,Lock the Gate Alliance,Q19875296,FALSE
63343132,Alana Mann,Q89919527,TRUE
50341757,Laurie Matthews,Q24006659,TRUE
50541664,Marcela Del Sol,Q24191326,TRUE
4542828,Will Studd,Q15492086,TRUE
23022404,Kenneth Shave,Q6390683,TRUE
56149633,Gordon Kerry,Q46995327,TRUE
42820982,Elizabeth Sweeting,Q17020892,TRUE
73645244,K. K. Brown,Q117846456,TRUE
71175877,Robert Chipman,Q112768314,TRUE
