pageid,ns,title,type,sitelink,personLabel,personDescription,genderLabel,dob,dod,pobLabel,person,indigenous,indig_filter,project,page,watchers,pageviews,pageviews_offset,revisions,editors,ip_edits,minor_edits,author,author_editcount,created_at,created_rev_id,modified_at,secs_since_last_edit,last_edit_id,assessment,elapsed_time
70229,0,Joan Lindsay,page,https://en.wikipedia.org/wiki/Joan_Lindsay,Joan Lindsay,Australian writer (1896-1984),female,1896-11-16,1984-12-23,St Kilda,http://www.wikidata.org/entity/Q453983,not indigenous,keep,en.wikipedia.org,Joan Lindsay,0,1335,30,236,122,63,50,,2319,2002-08-10,148969,2023-05-07 01:26,5310414,1153545480,,0.187
50353927,0,Rose Lindsay,page,https://en.wikipedia.org/wiki/Rose_Lindsay,Rose Lindsay,"Australian author, artist and artist's model (1885-1978)",female,1885-07-05,1978-01-01,Gosford,http://www.wikidata.org/entity/Q23932789,not indigenous,keep,en.wikipedia.org,Rose Lindsay,0,208,30,62,26,3,15,,5532,2016-04-28,717584580,2022-11-10 10:06,20658420,1121071452,,0.171
3017121,0,Lionel Lindsay,page,https://en.wikipedia.org/wiki/Lionel_Lindsay,Lionel Lindsay,Australian artist (1874-1961),male,1874-10-17,1961-05-22,Creswick,http://www.wikidata.org/entity/Q6555699,not indigenous,keep,en.wikipedia.org,Lionel Lindsay,0,250,30,113,60,30,33,,44429,2005-10-28,26676597,2023-05-06 22:27,5321180,1153519774,,0.202
8967463,0,Percy Lindsay,page,https://en.wikipedia.org/wiki/Percy_Lindsay,Percy Lindsay,Australian artist (1870-1952),male,1870-09-17,1952-09-21,Creswick,http://www.wikidata.org/entity/Q7167461,not indigenous,keep,en.wikipedia.org,Percy Lindsay,0,82,30,55,40,9,20,,90,2007-01-17,101302121,2023-06-04 10:13,2859615,1158483552,,0.182
5300007,0,Philip Lindsay,page,https://en.wikipedia.org/wiki/Philip_Lindsay,Philip Lindsay,British writer,male,1906-01-01,1958-01-01,Sydney,http://www.wikidata.org/entity/Q7183979,not indigenous,keep,en.wikipedia.org,Philip Lindsay,0,180,30,67,37,4,14,,47349,2006-05-26,55254301,2023-02-02 06:53,13412386,1137001258,,0.188
2153851,0,Ruby Lindsay,page,https://en.wikipedia.org/wiki/Ruby_Lindsay,Ruby Lindsay,Australian illustrator and painter (1885-1919),female,1885-03-20,1919-03-12,Creswick,http://www.wikidata.org/entity/Q7376346,not indigenous,keep,en.wikipedia.org,Ruby Lindsay,0,89,30,71,47,2,21,,15,2005-07-02,17991890,2023-05-06 22:27,5321181,1153519777,,0.176
7513291,0,Australian two-dollar note,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Australian two-dollar note,0,941,30,112,76,36,30,,134,2006-10-19,82383070,2023-04-05 04:21,8064695,1148274055,,0.18
11780279,0,Camden Park Estate,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Camden Park Estate,0,331,30,101,58,19,34,,1922,2007-06-15,138296619,2023-05-15 17:35,4561079,1154941553,,0.191
3879158,0,Elizabeth Farm,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Elizabeth Farm,0,588,30,228,98,36,66,,30643,2006-01-29,37142210,2022-12-28 09:49,16512238,1130042127,,0.231
58216737,0,Hambledon Cottage,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Hambledon Cottage,0,66,30,23,13,0,10,,42648,2018-08-21,855878656,2023-03-19 13:35,9500274,1145504212,,0.171
33053713,0,Arthur Macarthur-Onslow,page,https://en.wikipedia.org/wiki/Arthur_Macarthur-Onslow,Arthur Macarthur-Onslow,Australian grazier and investor (1879-1938),male,1879-06-07,1938-03-03,NA,http://www.wikidata.org/entity/Q4799621,not indigenous,keep,en.wikipedia.org,Arthur Macarthur-Onslow,0,49,30,17,13,0,5,,76421,2011-09-11,449843489,2023-01-06 13:04,15722939,1131931056,,0.189
5216418,0,James Macarthur-Onslow,page,https://en.wikipedia.org/wiki/James_Macarthur-Onslow,James Macarthur-Onslow,"Australian soldier, grazier, politician and company director",male,1867-11-07,1946-01-17,Camden Park Estate,http://www.wikidata.org/entity/Q6138665,not indigenous,keep,en.wikipedia.org,James Macarthur-Onslow,0,156,30,128,59,14,46,,396,2006-05-20,54156759,2023-06-07 11:51,2594533,1158973204,,0.21
2644996,0,"Macarthur, Australian Capital Territory",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Macarthur, Australian Capital Territory",0,77,30,80,54,9,29,,12295,2005-09-09,22888278,2022-12-28 09:47,16512379,1130041863,,0.19
1214625,0,Division of Macarthur,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Division of Macarthur,0,394,30,190,92,26,54,,NA,2004-11-27,7897118,2023-03-29 11:41,8643131,1147193366,,0.195
30305549,0,James Macarthur (politician),page,https://en.wikipedia.org/wiki/James_Macarthur_(politician),James Macarthur,"pastoralist and politician in New South Wales, Australia (1798–1867)",male,1798-01-01,1867-04-21,Parramatta,http://www.wikidata.org/entity/Q6138667,not indigenous,keep,en.wikipedia.org,James Macarthur (politician),0,133,30,61,30,6,10,,10576,2011-01-04,405850596,2023-02-28 11:55,11147905,1142083379,,0.201
8441813,0,Elizabeth Bay House,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Elizabeth Bay House,0,383,30,119,63,13,48,,16862,2006-12-14,94377208,2023-02-21 05:12,11776841,1140670940,,0.186
3240694,0,Macleay Museum,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Macleay Museum,0,89,30,69,45,2,17,,1656,2005-11-25,29227772,2023-03-23 06:28,9180298,1146176729,,0.178
4008136,0,Alexander Macleay,page,https://en.wikipedia.org/wiki/Alexander_Macleay,Alexander Macleay,British entomologist and public servant in the colony of New South Wales (1767–1848),male,1767-06-24,1848-07-18,Ross-shire,http://www.wikidata.org/entity/Q2833165,not indigenous,keep,en.wikipedia.org,Alexander Macleay,0,190,30,95,60,5,35,,1245,2006-02-09,38841590,2023-03-07 23:06,10502817,1143470949,,0.196
