pageid,ns,title,type,sitelink,personLabel,personDescription,genderLabel,dob,dod,pobLabel,person,indigenous,indig_filter,project,page,watchers,pageviews,pageviews_offset,revisions,editors,ip_edits,minor_edits,author,author_editcount,created_at,created_rev_id,modified_at,secs_since_last_edit,last_edit_id,assessment,elapsed_time
12416348,0,George Macleay,page,https://en.wikipedia.org/wiki/George_Macleay,George Macleay,"pastoralist, explorer and politician in New South Wales, Australia (1809–1891)",male,1809-01-01,1891-06-24,London,http://www.wikidata.org/entity/Q5542036,not indigenous,keep,en.wikipedia.org,George Macleay,0,72,30,53,35,1,18,,11253,2007-07-24,146721640,2022-12-28 10:15,16510671,1130045637,,0.175
3937335,0,William John Macleay,page,https://en.wikipedia.org/wiki/William_John_Macleay,William John Macleay,"politician and naturalist in New South Wales, Australia (1820-1891)",male,1820-06-13,1891-12-07,Wick,http://www.wikidata.org/entity/Q3568745,not indigenous,keep,en.wikipedia.org,William John Macleay,0,218,30,78,52,6,35,,1085,2006-02-02,37899146,2023-05-02 00:09,5747024,1152734142,,0.177
2935028,0,William Sharp Macleay,page,https://en.wikipedia.org/wiki/William_Sharp_Macleay,William Sharp Macleay,"British civil servant and entomologist, active in Cuba and New South Wales, Australia (1792–1865)",male,1792-07-21,1865-01-26,London,http://www.wikidata.org/entity/Q1237875,not indigenous,keep,en.wikipedia.org,William Sharp Macleay,0,203,30,91,59,9,29,,81594,2005-10-18,25822518,2022-12-28 10:15,16510660,1130045669,,0.189
2029195,0,Olga Masters,page,https://en.wikipedia.org/wiki/Olga_Masters,Olga Masters,Australian writer,female,1919-05-28,1986-09-27,Pambula,http://www.wikidata.org/entity/Q7086627,not indigenous,keep,en.wikipedia.org,Olga Masters,0,164,30,91,50,7,39,,3984,2005-06-12,15088674,2022-10-08 04:40,23529202,1114766391,,0.18
6962521,0,Ian Masters (journalist),page,https://en.wikipedia.org/wiki/Ian_Masters_(journalist),Ian Masters,American journalist,male,1901-01-01,NA,Australia,http://www.wikidata.org/entity/Q5982224,not indigenous,keep,en.wikipedia.org,Ian Masters (journalist),0,2355,30,91,57,20,30,,39736,2006-09-12,75317738,2023-06-14 04:57,2014544,1160056575,,0.223
7392737,0,Judy Masters,page,https://en.wikipedia.org/wiki/Judy_Masters,James Masters,Australian soccer player (1892-1955),male,1892-05-21,1955-12-02,Balgownie,http://www.wikidata.org/entity/Q6139055,not indigenous,keep,en.wikipedia.org,Judy Masters,0,56,30,83,57,5,41,,748,2006-10-11,80779310,2023-07-05 15:05,163697,1163559782,,0.174
6212262,0,Roy Masters (rugby league),page,https://en.wikipedia.org/wiki/Roy_Masters_(rugby_league),Roy Masters,Australian rugby league coach,male,1941-10-15,NA,NA,http://www.wikidata.org/entity/Q7373129,not indigenous,keep,en.wikipedia.org,Roy Masters (rugby league),0,553,30,190,94,35,49,,276,2006-08-01,67031396,2023-03-12 13:27,10105551,1144216481,,0.263
43826374,0,Sue Masters,page,https://en.wikipedia.org/wiki/Sue_Masters,Sue Masters,Australian television producer,female,NA,NA,NA,http://www.wikidata.org/entity/Q18057226,not indigenous,keep,en.wikipedia.org,Sue Masters,0,120,30,24,12,4,6,,652,2014-09-15,625598113,2023-05-05 14:30,5436196,1153312865,,0.177
16482276,0,Georges Mora,page,https://en.wikipedia.org/wiki/Georges_Mora,Georges Mora,Australian businessman,male,1913-01-01,1992-01-01,Leipzig,http://www.wikidata.org/entity/Q5546863,not indigenous,keep,en.wikipedia.org,Georges Mora,0,163,30,171,62,10,59,,26056,2008-03-22,200056885,2023-01-07 17:45,15619674,1132185034,,0.18
3606549,0,Tiriel Mora,page,https://en.wikipedia.org/wiki/Tiriel_Mora,Tiriel Mora,Australian actor,male,1958-10-19,NA,NA,http://www.wikidata.org/entity/Q7809218,not indigenous,keep,en.wikipedia.org,Tiriel Mora,0,918,30,105,74,26,37,,987,2006-01-03,33726438,2023-06-21 17:57,1362969,1161274159,,0.198
17304829,0,Judy Moran,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Judy Moran,0,2549,30,153,93,44,32,,16862,2007-07-03,142144421,2023-05-07 01:35,5309904,1153547002,,0.218
11243490,0,Alexander Onslow,page,https://en.wikipedia.org/wiki/Alexander_Onslow,Alexander Onslow,Australian Chief Justice,male,1842-07-17,1908-10-20,Tiruchirappalli,http://www.wikidata.org/entity/Q4719784,not indigenous,keep,en.wikipedia.org,Alexander Onslow,0,44,30,56,39,0,19,,3290,2007-01-02,97911650,2022-09-07 03:17,26212580,1108941858,,0.167
426367,0,Arthur Onslow,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Arthur Onslow,0,420,30,148,91,16,66,,NA,2004-01-10,2124604,2023-07-06 11:06,91660,1163761867,,0.197
47312762,0,Arthur Onslow (Australian politician),page,https://en.wikipedia.org/wiki/Arthur_Onslow_(Australian_politician),Arthur Alexander Walton Onslow,English/Australian naval officer and politician (1833-1882),male,1833-08-02,1882-01-31,Tiruchirappalli,http://www.wikidata.org/entity/Q21025192,not indigenous,keep,en.wikipedia.org,Arthur Onslow (Australian politician),0,34,30,22,13,0,9,,71010,2015-07-23,672659483,2021-08-12 19:29,59936655,1038473789,,0.174
39597000,0,Arthur Onslow (priest),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Arthur Onslow (priest),0,19,30,22,18,0,9,,87064,2013-06-06,558628275,2022-11-22 20:36,19583866,1123249582,,0.165
13909587,0,"Sir Arthur Onslow, 1st Baronet",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Sir Arthur Onslow, 1st Baronet",0,76,30,57,28,1,24,,76421,2007-10-25,166993920,2023-04-19 19:13,6801608,1150717166,,0.188
24406326,0,Tankerville Chamberlayne,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Tankerville Chamberlayne,0,105,30,106,50,7,42,,79197,2009-09-20,315047933,2022-11-22 20:31,19584159,1123246988,,0.174
26213555,0,Thomas Chamberlayne (cricketer),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Thomas Chamberlayne (cricketer),0,18,30,43,30,1,21,,70333,2010-02-15,344303134,2023-05-25 09:00,3728032,1156931097,,0.192
4041227,0,Cranley Onslow,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Cranley Onslow,0,265,30,135,63,10,76,,4498,2006-02-11,39251494,2022-11-06 13:39,20991255,1120339296,,0.19
18349933,0,Denzil Onslow (British Army officer),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Denzil Onslow (British Army officer),0,27,30,34,20,0,12,,100201,2008-07-08,224416951,2022-09-18 20:56,25198644,1111010474,,0.179
28523377,0,Denzil Onslow (Conservative politician),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Denzil Onslow (Conservative politician),0,16,30,66,36,3,43,,26275,2010-08-24,380793084,2022-05-01 20:55,37294683,1085676568,,0.173
20636405,0,Denzil Onslow of Pyrford,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Denzil Onslow of Pyrford,0,13,30,90,38,1,49,,76421,2008-12-11,257177471,2023-01-27 19:57,13883805,1135936721,,0.196
32990222,0,Denzil Onslow of Stoughton,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Denzil Onslow of Stoughton,0,11,30,34,24,1,13,,76421,2011-09-05,448626324,2022-10-13 20:13,23041239,1115902811,,0.178
33011022,0,"Sir Francis Samuel Drake, 1st Baronet",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Sir Francis Samuel Drake, 1st Baronet",0,179,30,37,29,5,12,,1712810,2011-09-07,448940286,2023-01-17 02:27,14810764,1134115922,,0.181
14450619,0,Edward Onslow,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Edward Onslow,0,109,30,42,29,0,14,,76421,2007-11-27,174139467,2023-04-03 19:26,8183268,1148049704,,0.198
68797571,0,Edward Onslow (died 1615),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Edward Onslow (died 1615),0,33,30,27,6,1,18,,57450,2021-09-23,1045986850,2023-06-05 10:28,2772325,1158646516,,0.202
14450312,0,George Onslow (British Army officer),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,George Onslow (British Army officer),0,27,30,43,27,3,25,,76421,2007-11-27,174135291,2022-12-28 12:58,16500934,1130069694,,0.159
1136506,0,George Onslow (composer),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,George Onslow (composer),0,754,30,315,107,30,113,,13412,2004-11-06,7144291,2023-06-01 09:26,3121656,1157997667,,0.232
29100288,0,Guildford Onslow,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Guildford Onslow,0,59,30,35,24,0,22,,26275,2010-10-07,389371653,2022-12-21 23:16,17068661,1128776744,,0.201
45331639,0,"Gwladys, Lady Delamere",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Gwladys, Lady Delamere",0,288,30,66,32,6,27,,8377,2015-02-07,646052796,2023-06-21 21:35,1349932,1161302919,,0.198
43070376,0,George Hamilton (canon),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,George Hamilton (canon),0,60,30,19,10,0,3,,30558,2014-06-16,613180434,2022-04-10 19:24,39114552,1081985081,,0.184
51375827,0,"Sir Henry Onslow, 2nd Baronet",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Sir Henry Onslow, 2nd Baronet",0,18,30,20,12,0,8,,87064,2016-08-20,735443286,2022-09-23 01:43,24835829,1111809280,,0.175
9073490,0,"Hugh Cholmondeley, 2nd Baron Delamere",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Hugh Cholmondeley, 2nd Baron Delamere",0,218,30,100,47,4,45,,36681,2007-01-23,102686294,2023-03-25 22:48,8948748,1146607539,,0.154
9074219,0,"Hugh Cholmondeley, 3rd Baron Delamere",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Hugh Cholmondeley, 3rd Baron Delamere",0,2460,30,252,107,42,65,,36681,2007-01-23,102698426,2023-06-21 13:49,1377891,1161243906,,0.216
21041637,0,"Hugh Cholmondeley, 5th Baron Delamere",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Hugh Cholmondeley, 5th Baron Delamere",0,958,30,122,66,15,31,,58409,2009-01-11,263335339,2023-03-25 22:48,8948755,1146607529,,0.214
32990381,0,Middleton Onslow,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Middleton Onslow,0,8,30,19,15,1,8,,76421,2011-09-05,448628798,2023-03-21 07:55,9347898,1145839772,,0.166
49143111,0,"Pamela Onslow, Countess of Onslow",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Pamela Onslow, Countess of Onslow",0,84,30,30,15,3,9,,12539,2016-01-18,700446948,2022-04-16 03:29,38653508,1082953167,,0.179
6152738,0,"Hyde Parker (Royal Navy officer, born 1739)",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Hyde Parker (Royal Navy officer, born 1739)",0,398,30,148,90,13,59,,19008,2006-07-28,66304996,2023-01-24 14:00,14164448,1135408271,,0.193
8078157,0,"Hyde Parker (Royal Navy officer, born 1784)",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Hyde Parker (Royal Navy officer, born 1784)",0,91,30,163,51,6,54,,3218,2006-11-23,89568454,2022-12-20 06:09,17216704,1128453504,,0.193
42859881,0,John Boteler Parker,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,John Boteler Parker,0,48,30,38,12,1,6,,65541,2014-05-25,610068352,2022-10-11 03:59,23272486,1115372311,,0.209
14385455,0,Richard Onslow (British Army officer),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Richard Onslow (British Army officer),0,47,30,66,34,0,34,,76421,2007-11-23,173325350,2023-04-10 10:19,7611317,1149126418,,0.165
15315996,0,Richard Onslow (Parliamentarian),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Richard Onslow (Parliamentarian),0,77,30,99,48,3,53,,4827,2008-01-19,185488453,2023-05-21 11:10,4065821,1156139812,,0.218
2261723,0,"Richard Onslow, 1st Baron Onslow",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Richard Onslow, 1st Baron Onslow",0,267,30,152,83,8,75,,122,2005-07-19,19116526,2023-06-26 01:06,991680,1161944568,,0.194
26029698,0,"Richard Onslow, 3rd Baron Onslow",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Richard Onslow, 3rd Baron Onslow",0,41,30,36,30,1,15,,30880,2010-02-01,341324354,2023-06-02 09:29,3035102,1158162066,,0.179
14385079,0,"Sir Richard Onslow, 1st Baronet",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Sir Richard Onslow, 1st Baronet",0,74,30,57,30,8,24,,76421,2007-11-23,173320251,2023-04-10 10:19,7611321,1149126416,,0.191
26308423,0,George Hamilton Seymour,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,George Hamilton Seymour,0,158,30,35,28,0,16,,11243,2010-02-23,345864195,2022-12-08 15:07,18221192,1126289771,,0.174
29378028,0,Lord George Seymour,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Lord George Seymour,0,90,30,34,21,0,23,,36681,2010-10-27,393241230,2022-10-25 18:46,22009681,1118209166,,0.177
33411105,0,"Sir Anthony Shirley, 1st Baronet",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Sir Anthony Shirley, 1st Baronet",0,19,30,28,16,1,10,,26275,2011-10-14,455576063,2022-05-23 15:52,35412111,1089402631,,0.193
5283701,0,Thomas Cholmondeley (farmer),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Thomas Cholmondeley (farmer),31,1922,30,373,193,129,89,,18370,2006-05-25,55029263,2023-03-25 23:26,8946489,1146613176,,0.243
21040047,0,"Thomas Cholmondeley, 4th Baron Delamere",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Thomas Cholmondeley, 4th Baron Delamere",0,1453,30,118,51,25,36,,58409,2009-01-11,263307987,2023-05-16 06:12,4515699,1155029529,,0.189
27118859,0,Thomas Frederick Onslow,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Thomas Frederick Onslow,0,16,30,20,15,0,10,,70333,2010-04-26,358449347,2023-05-24 04:38,3830185,1156695756,,0.172
14385966,0,Thomas Cranley Onslow,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Thomas Cranley Onslow,0,45,30,42,21,0,26,,76421,2007-11-23,173332586,2023-03-16 10:17,9771409,1144928832,,0.159
5693992,0,"Thomas Onslow, 2nd Baron Onslow",page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,"Thomas Onslow, 2nd Baron Onslow",0,84,30,99,56,2,44,,1,2006-06-24,60357472,2023-06-02 09:29,3035130,1158162038,,0.219
9167850,0,Alexander Waugh,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Alexander Waugh,0,1053,30,150,64,28,24,,24,2007-01-28,103844914,2022-09-16 02:12,25438906,1110534361,,0.183
561511,0,Auberon Waugh,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Auberon Waugh,36,3002,30,406,253,103,121,,15287,2004-03-29,2963091,2023-05-14 11:35,4669131,1154743279,,0.255
27473604,0,Daisy Waugh,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Daisy Waugh,0,830,30,166,67,16,44,,108024,2010-05-25,364103995,2023-03-13 18:05,10002528,1144424157,,0.219
4907422,0,Lady Teresa Waugh,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Lady Teresa Waugh,0,341,30,98,41,8,21,,31329,2006-04-26,50307032,2023-03-11 21:14,10163991,1144103306,,0.176
43012997,0,Glynn Wynn,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Glynn Wynn,0,7,30,11,10,0,5,,2933506,2014-06-10,612289339,2021-12-30 22:13,47830850,1062847662,,0.192
6108615,0,Dennis Allen (criminal),page,https://en.wikipedia.org/wiki/Dennis_Allen_(criminal),Dennis Allen,Australian criminal (1951-1987),male,1951-11-07,1987-04-13,Carlton,http://www.wikidata.org/entity/Q16011830,not indigenous,keep,en.wikipedia.org,Dennis Allen (criminal),0,2917,30,184,118,59,52,,168009,2005-11-26,29309851,2023-05-30 05:02,3310320,1157664110,,0.217
51608513,0,Thomas Hamilton Ayliffe,page,https://en.wikipedia.org/wiki/Thomas_Hamilton_Ayliffe,Thomas Hamilton Ayliffe,"physician, early settler of South Australia",male,1774-01-01,1852-05-28,NA,http://www.wikidata.org/entity/Q27468318,not indigenous,keep,en.wikipedia.org,Thomas Hamilton Ayliffe,0,28,30,312,19,0,12,,116022,2016-09-14,739432350,2023-01-20 15:26,14504905,1134772419,,0.21
35032572,0,Charles Hervey Bagot,page,https://en.wikipedia.org/wiki/Charles_Hervey_Bagot,Charles Harvey Bagot,"Australian politician, businessperson and farmer",male,1788-04-17,1880-07-29,Nurney,http://www.wikidata.org/entity/Q5079019,not indigenous,keep,en.wikipedia.org,Charles Hervey Bagot,0,107,30,349,45,6,22,,116022,2012-03-11,481308213,2023-05-10 14:33,5004077,1154141577,,0.242
52197481,0,George Vause Birks,page,https://en.wikipedia.org/wiki/George_Vause_Birks,George Vause Birks,colonial Australian surgeon,male,1815-12-07,1858-01-31,England,http://www.wikidata.org/entity/Q28219926,not indigenous,keep,en.wikipedia.org,George Vause Birks,0,18,30,49,18,0,14,,116022,2016-11-05,747965648,2023-04-14 00:33,7300887,1149714823,,0.169
37291309,0,Bowman brothers,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Bowman brothers,0,107,30,316,38,2,30,,116022,2012-10-11,517163353,2023-03-14 21:05,9905381,1144649976,,0.208
5634169,0,Richard Butler (Australian politician),page,https://en.wikipedia.org/wiki/Richard_Butler_(Australian_politician),Richard Butler,Australian politician,male,1850-12-03,1925-04-28,Stadhampton,http://www.wikidata.org/entity/Q7324498,not indigenous,keep,en.wikipedia.org,Richard Butler (Australian politician),0,43,30,109,57,7,31,,52166,2006-06-20,59570428,2022-08-23 02:23,27511868,1106065608,,0.177
45188659,0,Cawthorne and Co,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Cawthorne and Co,0,30,30,138,26,3,16,,116022,2015-01-23,643882014,2022-11-08 23:05,20784585,1120809846,,0.187
34880310,0,Chambers brothers (pastoralists),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Chambers brothers (pastoralists),0,76,30,324,31,1,27,,116022,2012-02-25,478750032,2023-03-20 09:07,9430033,1145663738,,0.219
12800917,0,John Fullerton Cleland,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,John Fullerton Cleland,0,28,30,76,22,0,13,,9809,2007-08-16,151682836,2023-06-24 19:49,1097127,1161743177,,0.176
37030093,0,Daniel Cudmore (businessman),page,https://en.wikipedia.org/wiki/Daniel_Cudmore_(businessman),Daniel Michael Paul Cudmore,Australian pastoralist,male,1811-01-01,1891-11-03,NA,http://www.wikidata.org/entity/Q16062450,not indigenous,keep,en.wikipedia.org,Daniel Cudmore (businessman),0,48,30,241,33,7,15,,116022,2012-09-16,512859821,2023-05-10 19:56,4984676,1154183255,,0.213
35243892,0,Dutton family of South Australia,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Dutton family of South Australia,0,70,30,200,14,0,17,,116022,2012-03-27,484250928,2022-02-06 14:59,44573709,1070257225,,0.21
15840398,0,William Giles (colonial manager),page,https://en.wikipedia.org/wiki/William_Giles_(colonial_manager),William Giles,South Australian businessperson and politician (1791–1862),male,1791-12-27,1862-05-11,Great Staughton,http://www.wikidata.org/entity/Q2578963,not indigenous,keep,en.wikipedia.org,William Giles (colonial manager),0,55,30,279,62,44,46,,50,2008-02-19,192529821,2023-05-24 16:27,3787613,1156787748,,0.21
31220126,0,Thomas Magarey,page,https://en.wikipedia.org/wiki/Thomas_Magarey,Thomas Magarey,"miller, pastoralist and politician in South Australia  (1825-1902)",male,1825-02-25,1902-08-31,County Down,http://www.wikidata.org/entity/Q7792117,not indigenous,keep,en.wikipedia.org,Thomas Magarey,0,8,30,50,23,3,16,,54064,2011-03-18,419471141,2022-10-02 07:35,24037134,1113591820,,0.164
49924875,0,Morphett families of South Australia,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Morphett families of South Australia,0,62,30,6,5,0,3,,21896,2016-03-24,711661801,2022-09-30 21:27,24160045,1113311108,,0.148
