pageid,ns,title,type,sitelink,personLabel,personDescription,genderLabel,dob,dod,pobLabel,person,indigenous,indig_filter,project,page,watchers,pageviews,pageviews_offset,revisions,editors,ip_edits,minor_edits,author,author_editcount,created_at,created_rev_id,modified_at,secs_since_last_edit,last_edit_id,assessment,elapsed_time
6625865,0,Mika Todd,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Mika Todd,0,162,30,119,79,25,44,,308,2006-08-23,71316084,2021-09-10 02:43,57572931,1043431890,,0.203
2147654,0,Sharni Vinson,page,https://en.wikipedia.org/wiki/Sharni_Vinson,Sharni Vinson,Australian actress and dancer,female,1983-07-22,NA,Sydney,http://www.wikidata.org/entity/Q271065,not indigenous,keep,en.wikipedia.org,Sharni Vinson,59,12416,30,526,336,223,109,,NA,2005-07-01,17932685,2023-06-28 03:15,892610,1162277694,,0.33
1372169,0,Alex Winter,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Alex Winter,90,26953,30,913,567,396,179,,883,2005-01-07,9184698,2023-06-26 11:47,1034737,1162004559,,0.462
409628,0,David Wojnarowicz,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,David Wojnarowicz,81,6893,30,469,276,96,131,,176976,2003-12-20,3031011,2023-05-15 21:59,4626779,1154977206,,0.268
31914044,0,Australian Jews in Israel,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Australian Jews in Israel,0,105,30,126,50,8,22,,84124,2011-05-28,431331160,2023-02-28 06:50,11247720,1142050113,,0.184
7932946,0,Kfar Monash,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Kfar Monash,0,139,30,60,43,4,21,,148,2006-11-14,87744705,2022-07-03 02:06,32000802,1096212357,,0.184
54238390,0,Leshem (Israeli settlement),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Leshem (Israeli settlement),0,163,30,57,20,3,26,,18,2017-06-06,784135980,2023-01-10 18:37,15438902,1132813064,,0.159
36175729,0,Maureen Dunlop de Popp,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Maureen Dunlop de Popp,0,290,30,128,52,14,32,,103559,2012-06-18,498167857,2023-01-29 02:20,13855970,1136170738,,0.167
55929579,0,Cynthia Hotton,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Cynthia Hotton,0,214,30,33,21,5,6,,95302,2017-11-30,812867854,2023-06-01 14:43,3184148,1158030299,,0.171
38430201,0,Andrés Mack,page,https://en.wikipedia.org/wiki/Andr%C3%A9s_Mack,Andrés Mack,footballer (1876-1936),male,1876-01-01,1936-10-06,Canberra,http://www.wikidata.org/entity/Q303597,not indigenous,keep,en.wikipedia.org,Andrés Mack,0,34,30,37,24,1,18,,80605,2013-02-05,536699718,2023-07-05 15:04,245295,1163559552,,0.176
2193859,0,Luisa Valenzuela,page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Luisa Valenzuela,0,366,30,149,111,44,47,,NA,2005-07-08,18400576,2023-01-26 21:21,14046694,1135787292,,0.212
206186,0,Francis Bacon (artist),page,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en.wikipedia.org,Francis Bacon (artist),392,28378,30,3959,1417,1426,847,,697,2003-04-05,804577,2023-05-28 14:11,3531700,1157423455,,0.857
