pageid,ns,title,type,sitelink,personLabel,personDescription,genderLabel,dob,dod,pobLabel,person,indigenous,indig_filter,project,page,watchers,pageviews,pageviews_offset,revisions,editors,ip_edits,minor_edits,author,author_editcount,created_at,created_rev_id,modified_at,secs_since_last_edit,last_edit_id,assessment,elapsed_time
1203465,0,Monica Gould,page,https://en.wikipedia.org/wiki/Monica_Gould,Monica Gould,Australian politician,female,1957-05-05,NA,NA,http://www.wikidata.org/entity/Q6899966,not indigenous,keep,en.wikipedia.org,Monica Gould,0,33,30,58,37,1,37,,36325,2004-11-24,7801162,2023-04-14 13:51,7351116,1149798652,,0.162
52037776,0,John Graham (Australian politician),page,https://en.wikipedia.org/wiki/John_Graham_(Australian_politician),John Graham,Australian politician,male,NA,NA,NA,http://www.wikidata.org/entity/Q27450715,not indigenous,keep,en.wikipedia.org,John Graham (Australian politician),0,648,30,40,22,2,11,,84825,2016-10-19,745101101,2023-05-21 06:21,4181357,1156102088,,1.188
5085556,0,Leonie Short,page,https://en.wikipedia.org/wiki/Leonie_Short,Leonie Short,Australian politician,female,1956-01-01,NA,Gresford,http://www.wikidata.org/entity/Q6526624,not indigenous,keep,en.wikipedia.org,Leonie Short,0,54,30,52,32,6,21,,52166,2006-05-10,52435548,2023-03-20 05:19,9541826,1145637958,,0.187
21370974,0,Phil Gray (politician),page,https://en.wikipedia.org/wiki/Phil_Gray_(politician),Phil Gray,Australian politician (1947-2017),male,1947-04-20,2017-04-19,Brisbane,http://www.wikidata.org/entity/Q16114831,not indigenous,keep,en.wikipedia.org,Phil Gray (politician),0,11,30,53,27,2,22,,71010,2009-02-02,268126241,2023-05-23 21:42,3953297,1156641713,,0.181
11874943,0,Danielle Green,page,https://en.wikipedia.org/wiki/Danielle_Green,Danielle Green,Australian politician,female,1963-09-19,NA,East Melbourne,http://www.wikidata.org/entity/Q5219373,not indigenous,keep,en.wikipedia.org,Danielle Green,0,122,30,63,49,9,20,,171,2007-06-21,139552005,2023-03-28 09:49,8834466,1147015159,,0.176
19229527,0,Kayee Griffin,page,https://en.wikipedia.org/wiki/Kayee_Griffin,Kayee Griffin,Australian politician,female,1950-02-06,NA,Sydney,http://www.wikidata.org/entity/Q6380547,not indigenous,keep,en.wikipedia.org,Kayee Griffin,0,7,30,46,28,0,18,,1734,2008-09-08,237049763,2022-12-03 07:55,18777291,1125296727,,0.181
18712458,0,Nick Griffiths,page,https://en.wikipedia.org/wiki/Nick_Griffiths,Nick Griffiths,Australian politician,male,1951-12-24,NA,Barry,http://www.wikidata.org/entity/Q16148758,not indigenous,keep,en.wikipedia.org,Nick Griffiths,0,57,30,37,31,5,20,,80014,2008-08-04,229745220,2022-01-19 15:21,46225760,1066679066,,0.156
51565586,0,Yingiya Mark Guyula,page,https://en.wikipedia.org/wiki/Yingiya_Mark_Guyula,Yingiya Mark Guyula,Australian politician,male,NA,NA,Mirrngadja,http://www.wikidata.org/entity/Q26845735,not indigenous,keep,en.wikipedia.org,Yingiya Mark Guyula,0,227,30,59,35,2,20,,84825,2016-09-10,738682759,2023-03-20 04:35,9544525,1145632894,,0.198
60823557,0,Helen Haines,page,https://en.wikipedia.org/wiki/Helen_Haines,Helen Haines,"Australian nurse, health researcher and politician",female,1961-09-21,NA,Colac,http://www.wikidata.org/entity/Q41662205,not indigenous,keep,en.wikipedia.org,Helen Haines,0,830,30,57,37,11,9,,11825,2019-05-21,898119123,2023-03-20 06:01,9539349,1145642345,,0.182
9986338,0,Damian Hale,page,https://en.wikipedia.org/wiki/Damian_Hale,Damian Hale,Australian politician,male,1969-12-28,NA,Ipswich,http://www.wikidata.org/entity/Q5212260,not indigenous,keep,en.wikipedia.org,Damian Hale,0,77,30,93,53,14,30,,92,2007-03-11,114221919,2022-10-07 22:37,23649198,1114717742,,0.185
30052028,0,Bronwyn Halfpenny,page,https://en.wikipedia.org/wiki/Bronwyn_Halfpenny,Bronwyn Halfpenny,Australian politician,female,1973-09-30,NA,Richmond,http://www.wikidata.org/entity/Q4974143,not indigenous,keep,en.wikipedia.org,Bronwyn Halfpenny,0,124,30,34,27,3,15,,151849,2010-12-14,402415310,2022-11-08 02:35,20956487,1120645070,,0.245
5155878,0,Joan Hall,page,https://en.wikipedia.org/wiki/Joan_Hall,Joan Hall,Australian politician,female,1946-12-22,NA,Port Pirie,http://www.wikidata.org/entity/Q6205085,not indigenous,keep,en.wikipedia.org,Joan Hall,0,81,30,99,48,25,23,,67125,2006-05-15,53357896,2023-02-24 07:22,11608054,1141279850,,0.2
59149905,0,Katie Hall (Australian politician),page,https://en.wikipedia.org/wiki/Katie_Hall_(Australian_politician),Katie Hall,Australian politician,female,NA,NA,NA,http://www.wikidata.org/entity/Q59177174,not indigenous,keep,en.wikipedia.org,Katie Hall (Australian politician),0,155,30,13,11,1,5,,71010,2018-11-25,870487831,2023-05-08 10:53,5288240,1153795032,,0.142
